GEO_ID,Geography,Geographic Area Name,% Population 25 years and over with bachelor's degree or higher
13001,0500000US13001,"Appling County, Georgia",8.4
13003,0500000US13003,"Atkinson County, Georgia",6.9
13005,0500000US13005,"Bacon County, Georgia",6.6
13007,0500000US13007,"Baker County, Georgia",10.7
13009,0500000US13009,"Baldwin County, Georgia",16.2
13011,0500000US13011,"Banks County, Georgia",8.6
13013,0500000US13013,"Barrow County, Georgia",10.9
13015,0500000US13015,"Bartow County, Georgia",14.1
13017,0500000US13017,"Ben Hill County, Georgia",9.5
13019,0500000US13019,"Berrien County, Georgia",9.4
13021,0500000US13021,"Bibb County, Georgia",21.3
13023,0500000US13023,"Bleckley County, Georgia",12.5
13025,0500000US13025,"Brantley County, Georgia",6.2
13027,0500000US13027,"Brooks County, Georgia",11.3
13029,0500000US13029,"Bryan County, Georgia",19.3
13031,0500000US13031,"Bulloch County, Georgia",25.4
13033,0500000US13033,"Burke County, Georgia",9.5
13035,0500000US13035,"Butts County, Georgia",8.6
13037,0500000US13037,"Calhoun County, Georgia",11.7
13039,0500000US13039,"Camden County, Georgia",16
13043,0500000US13043,"Candler County, Georgia",10.2
13045,0500000US13045,"Carroll County, Georgia",16.5
13047,0500000US13047,"Catoosa County, Georgia",13.8
13049,0500000US13049,"Charlton County, Georgia",6.4
13051,0500000US13051,"Chatham County, Georgia",25
13053,0500000US13053,"Chattahoochee County, Georgia",25
13055,0500000US13055,"Chattooga County, Georgia",7.7
13057,0500000US13057,"Cherokee County, Georgia",27
13059,0500000US13059,"Clarke County, Georgia",39.8
13061,0500000US13061,"Clay County, Georgia",10.1
13063,0500000US13063,"Clayton County, Georgia",16.6
13065,0500000US13065,"Clinch County, Georgia",10.4
13067,0500000US13067,"Cobb County, Georgia",39.8
13069,0500000US13069,"Coffee County, Georgia",10
13071,0500000US13071,"Colquitt County, Georgia",11.4
13073,0500000US13073,"Columbia County, Georgia",32
13075,0500000US13075,"Cook County, Georgia",8.1
13077,0500000US13077,"Coweta County, Georgia",20.6
13079,0500000US13079,"Crawford County, Georgia",6.8
13081,0500000US13081,"Crisp County, Georgia",12.8
13083,0500000US13083,"Dade County, Georgia",10.9
13085,0500000US13085,"Dawson County, Georgia",18.1
13087,0500000US13087,"Decatur County, Georgia",12.1
13089,0500000US13089,"DeKalb County, Georgia",36.3
13091,0500000US13091,"Dodge County, Georgia",11.6
13093,0500000US13093,"Dooly County, Georgia",9.6
13095,0500000US13095,"Dougherty County, Georgia",17.8
13097,0500000US13097,"Douglas County, Georgia",19.2
13099,0500000US13099,"Early County, Georgia",12.6
13101,0500000US13101,"Echols County, Georgia",8.4
13103,0500000US13103,"Effingham County, Georgia",13.6
13105,0500000US13105,"Elbert County, Georgia",9.8
13107,0500000US13107,"Emanuel County, Georgia",10.1
13109,0500000US13109,"Evans County, Georgia",9
13111,0500000US13111,"Fannin County, Georgia",10.4
13113,0500000US13113,"Fayette County, Georgia",36.2
13115,0500000US13115,"Floyd County, Georgia",15.8
13117,0500000US13117,"Forsyth County, Georgia",34.6
13119,0500000US13119,"Franklin County, Georgia",10.3
13121,0500000US13121,"Fulton County, Georgia",41.4
13123,0500000US13123,"Gilmer County, Georgia",12.9
13125,0500000US13125,"Glascock County, Georgia",6.5
13127,0500000US13127,"Glynn County, Georgia",23.8
13129,0500000US13129,"Gordon County, Georgia",10.6
13131,0500000US13131,"Grady County, Georgia",10.6
13133,0500000US13133,"Greene County, Georgia",17.6
13135,0500000US13135,"Gwinnett County, Georgia",34.1
13137,0500000US13137,"Habersham County, Georgia",15.8
13139,0500000US13139,"Hall County, Georgia",18.7
13141,0500000US13141,"Hancock County, Georgia",9.8
13143,0500000US13143,"Haralson County, Georgia",9
13145,0500000US13145,"Harris County, Georgia",21.1
13147,0500000US13147,"Hart County, Georgia",13.5
13149,0500000US13149,"Heard County, Georgia",7.3
13151,0500000US13151,"Henry County, Georgia",19.5
13153,0500000US13153,"Houston County, Georgia",19.8
13155,0500000US13155,"Irwin County, Georgia",9.9
13157,0500000US13157,"Jackson County, Georgia",11.7
13159,0500000US13159,"Jasper County, Georgia",11.5
13161,0500000US13161,"Jeff Davis County, Georgia",9.4
13163,0500000US13163,"Jefferson County, Georgia",9.1
13165,0500000US13165,"Jenkins County, Georgia",10.8
13167,0500000US13167,"Johnson County, Georgia",7.8
13169,0500000US13169,"Jones County, Georgia",15
13171,0500000US13171,"Lamar County, Georgia",11.3
13173,0500000US13173,"Lanier County, Georgia",8.8
13175,0500000US13175,"Laurens County, Georgia",14.4
13177,0500000US13177,"Lee County, Georgia",17
13179,0500000US13179,"Liberty County, Georgia",14.5
13181,0500000US13181,"Lincoln County, Georgia",10.1
13183,0500000US13183,"Long County, Georgia",5.8
13185,0500000US13185,"Lowndes County, Georgia",19.7
13187,0500000US13187,"Lumpkin County, Georgia",17.6
13189,0500000US13189,"McDuffie County, Georgia",11.7
13191,0500000US13191,"McIntosh County, Georgia",11.1
13193,0500000US13193,"Macon County, Georgia",10
13195,0500000US13195,"Madison County, Georgia",10.9
13197,0500000US13197,"Marion County, Georgia",8.9
13199,0500000US13199,"Meriwether County, Georgia",10.8
13201,0500000US13201,"Miller County, Georgia",11.3
13205,0500000US13205,"Mitchell County, Georgia",9.1
13207,0500000US13207,"Monroe County, Georgia",17.1
13209,0500000US13209,"Montgomery County, Georgia",13.5
13211,0500000US13211,"Morgan County, Georgia",18.7
13213,0500000US13213,"Murray County, Georgia",7.2
13215,0500000US13215,"Muscogee County, Georgia",20.3
13217,0500000US13217,"Newton County, Georgia",14.5
13219,0500000US13219,"Oconee County, Georgia",39.8
13221,0500000US13221,"Oglethorpe County, Georgia",15.6
13223,0500000US13223,"Paulding County, Georgia",15.2
13225,0500000US13225,"Peach County, Georgia",16.8
13227,0500000US13227,"Pickens County, Georgia",15.6
13229,0500000US13229,"Pierce County, Georgia",10.1
13231,0500000US13231,"Pike County, Georgia",14
13233,0500000US13233,"Polk County, Georgia",8
13235,0500000US13235,"Pulaski County, Georgia",12.9
13237,0500000US13237,"Putnam County, Georgia",14.4
13239,0500000US13239,"Quitman County, Georgia",6.1
13241,0500000US13241,"Rabun County, Georgia",17.6
13243,0500000US13243,"Randolph County, Georgia",9.5
13245,0500000US13245,"Richmond County, Georgia",18.7
13247,0500000US13247,"Rockdale County, Georgia",23.4
13249,0500000US13249,"Schley County, Georgia",13.7
13251,0500000US13251,"Screven County, Georgia",10.2
13253,0500000US13253,"Seminole County, Georgia",8.6
13255,0500000US13255,"Spalding County, Georgia",12.5
13257,0500000US13257,"Stephens County, Georgia",14.1
13259,0500000US13259,"Stewart County, Georgia",9.3
13261,0500000US13261,"Sumter County, Georgia",19.3
13263,0500000US13263,"Talbot County, Georgia",7.9
13265,0500000US13265,"Taliaferro County, Georgia",8.4
13267,0500000US13267,"Tattnall County, Georgia",7.9
13269,0500000US13269,"Taylor County, Georgia",8.5
13271,0500000US13271,"Telfair County, Georgia",8.3
13273,0500000US13273,"Terrell County, Georgia",10.7
13275,0500000US13275,"Thomas County, Georgia",16.8
13277,0500000US13277,"Tift County, Georgia",15.6
13279,0500000US13279,"Toombs County, Georgia",12.7
13281,0500000US13281,"Towns County, Georgia",17.4
13283,0500000US13283,"Treutlen County, Georgia",8.5
13285,0500000US13285,"Troup County, Georgia",18
13287,0500000US13287,"Turner County, Georgia",10.5
13289,0500000US13289,"Twiggs County, Georgia",5.4
13291,0500000US13291,"Union County, Georgia",12.5
13293,0500000US13293,"Upson County, Georgia",11.5
13295,0500000US13295,"Walker County, Georgia",10.2
13297,0500000US13297,"Walton County, Georgia",13
13299,0500000US13299,"Ware County, Georgia",11.4
13301,0500000US13301,"Warren County, Georgia",8
13303,0500000US13303,"Washington County, Georgia",10.5
13305,0500000US13305,"Wayne County, Georgia",11.6
13307,0500000US13307,"Webster County, Georgia",9.1
13309,0500000US13309,"Wheeler County, Georgia",7.1
13311,0500000US13311,"White County, Georgia",15.4
13313,0500000US13313,"Whitfield County, Georgia",12.8
13315,0500000US13315,"Wilcox County, Georgia",7
13317,0500000US13317,"Wilkes County, Georgia",12
13319,0500000US13319,"Wilkinson County, Georgia",9.6
13321,0500000US13321,"Worth County, Georgia",8.6